,Non-ponded Ag. Area,Non-ponded Ag. Deliveries,Non-ponded Ag. ET from Groundwater,Non-ponded Ag. ET from Other Sources,Non-ponded Ag. ETAW,Non-ponded Ag. Effective Precipitation,Non-ponded Ag. Inflow as Surface Runoff,Non-ponded Ag. Pumping,Non-ponded Ag. Shortage,Non-ponded Ag. Supply Requirement,Non-ponded Potential CUAW,Refuge Area,Refuge Deliveries,Refuge ET from Groundwater,Refuge ET from Other Sources,Refuge ETAW,Refuge Effective Precipitation,Refuge Inflow as Surface Runoff,Refuge Potential CUAW,Refuge Pumping,Refuge Shortage,Refuge Supply Requirement,Rice Area,Rice Deliveries,Rice ET from Groundwater,Rice ET from Other Sources,Rice ETAW,Rice Effective Precipitation,Rice Inflow as Surface Runoff,Rice Potential CUAW,Rice Pumping,Rice Shortage,Rice Supply Requirement,Urban Area,Urban Deliveries,Urban Inflow as Surface Runoff,Urban Pumping,Urban Shortage,Urban Supply Requirement
Kings County WD A,63502464992,13595041235,NA,NA,12307835648,5757950007,NA,8826847215,-2650325293,19771563157,18782984999,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,NA,NA,0,0,NA,0,0,0,0,1.4371E+11,0,NA,10257799152,411641.9032,10258210794
Kings County WD B,37587885221,8721576049,NA,NA,7189351311,3563319826,NA,3122001893,-160248768.6,11683329174,11099162715,57288045,18387672.23,NA,NA,15570681.74,528700.721,NA,34327852.82,18088482.27,1.46E-11,36476154.5,0,0,NA,NA,0,0,NA,0,0,0,0,1.07323E+11,671357193.8,NA,6854157844,-9935.119748,7525505103
Kings River WD,35582296164,7571511431,NA,NA,6778533762,3295577551,NA,2219435568,-68520.84649,9790878478,9301334554,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,NA,NA,0,0,NA,0,0,0,0,43223685555,0,NA,659822517.8,0,659822517.8
Laguna ID,1.18054E+11,763761774.3,NA,NA,20443345547,10739023650,NA,27544086228,24535.54605,28307872538,26892478911,0,0,NA,NA,0,0,NA,0,0,0,0,1391642219,15410170.67,NA,NA,310862471.5,118941191.5,NA,483716974.5,525410290.5,-2.10E-09,540820461.2,27408485850,0,NA,3430713471,0,3430713471
Liberty WD,12137308733,4323121924,NA,NA,2176320809,1234501946,NA,500099836.8,-1982759455,2840462306,2698439191,103881154.2,19027036.39,NA,NA,27779820.86,1381977.059,NA,60779352.71,45647859.61,-4.07E-10,64674895.99,0,0,NA,NA,0,0,NA,0,0,0,0,26296691408,516451176.4,NA,1335216677,-3376.120155,1851664477
Mid-Valley WD,19754938891,1333964805,NA,NA,3526595865,2052874192,NA,3756884297,-150260414.5,4940588687,4693559253,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,NA,NA,0,0,NA,0,0,0,0,1.30534E+11,6988083122,NA,2554298543,-34282.01762,9542347383
Murphy Slough Assoc,30673829019,11110748.45,NA,NA,5389583222,2670832132,NA,9021937748,4.27E-08,9033048496,8581396071,0,0,NA,NA,0,0,NA,0,0,0,0,399681941.9,631065.1961,NA,NA,88979481.21,33764276.59,NA,137668173.5,153581076.8,-1.31E-09,154212142,10269068871,0,NA,952315618.1,-9.09E-13,952315618.1
Orange Cove ID,5733906159,681780704,NA,NA,1056448707,581596872,NA,799296378.5,-16873308.67,1464203774,1390993585,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,NA,NA,0,0,NA,0,0,0,0,13441981483,0,NA,1330386978,37775457.53,1368162436
Raisin City ID,55687514617,13949918642,NA,NA,10692779941,5377039483,NA,6969899747,-6016878383,14902940006,14157793006,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,NA,NA,0,0,NA,0,0,0,0,2.49258E+11,4314542375,NA,12247318974,-41777.13029,16561819571
Riverdale ID,16091968950,3606746896,NA,NA,2943779688,1579476959,NA,1129856039,-81761.08548,4736521174,4499695115,46191753.2,0,NA,NA,11687344.16,1184981.045,NA,25988200.03,27720390.77,-3.49E-10,27720390.77,0,0,NA,NA,0,0,NA,0,0,0,0,36551976208,1065179814,NA,1467686780,-9773.398022,2532856820
Stinson ID,14371985156,1950563529,NA,NA,2671071031,1426059981,NA,2071701998,-146812.4368,4022118714,3821012779,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,NA,NA,0,0,NA,0,0,0,0,40029794405,1398976616,NA,1333084817,-13276.58812,2732048156
Tranquility ID,5574100320,1632283554,NA,NA,1099389290,512641618.3,NA,186429074,-52082516.26,1766630112,1678298606,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,NA,NA,0,0,NA,0,0,0,0,15704740628,0,NA,1582442066,0,1582442066
Tri-Valley WD,3980667901,531376373.8,NA,NA,710196128.8,402800647.6,NA,390818377.3,-2.32E-09,922194751.1,876085013.5,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,NA,NA,0,0,NA,0,0,0,0,10858706539,0,NA,783603230.8,0,783603230.8
